98.697,75.231,25.599,83.096,44.217,95.425
10.136,77.892,55.053,85.26,21.983,44.156
56.613,94.717,56.201,9.5123,43.167,36.077
35.834,52.37,12.402,23.688,17.064,73.111
77.272,73.243,61.24,80.002,89.827,59.739
75.269,50.895,16.226,82.028,56.603,72.314
59.228,57.096,33.379,97.174,18.367,24.982
66.998,84.537,22.346,95.149,57.978,0.88372
87.889,2.7483,82.667,85.469,9.5655,46.455
56.822,29.574,66.432,70.263,24.464,61.841
22.15,12.911,87.691,79.011,73.322,12.53
95.031,62.033,72.351,56.563,75.541,62.291
89.674,33.818,84.836,10.988,30.116,3.2048
94.146,92.204,9.2394,50.963,35.651,81.009
6.3954,35.312,73.226,33.436,2.3659,62.079
84.377,21.886,33.316,75.229,39.83,23.871
7.6159,23.853,53.632,90.549,3.3523,8.8806
69.35,94.775,88.22,53.338,83.97,32.552
83.003,6.7025,2.0576,23.695,91.491,30.331
67.038,73.064,21.558,71.46,23.002,39.92
55.723,77.166,34.216,17.639,98.087,47.295
95.017,73.731,83.353,24.787,24.673,77.912
51.079,63.776,22.51,80.719,53.852,84.978
39.788,16.68,88.124,76.527,22.319,86.25
15.398,83.462,84.926,9.378,96.674,28.848
4.7561,94.54,82.201,29.093,92.673,12.568
22.481,18.987,82.271,37.941,15.021,61.115
96.047,67.71,41.876,43.93,49.745,5.7944
99.891,70.637,23.894,16.316,20.236,93.252
89.916,15.314,7.8796,14.158,68.433,14.558
6.4858,87.644,45.771,40.888,7.3905,24.119
54.44,46.471,93.142,27.994,61.504,57.523
93.389,15.07,7.7513,90.699,20.004,84.653
63.352,75.877,36.999,76.198,58.118,3.0164
25.02,74.544,91.222,61.733,9.6579,67.815
99.309,74.429,84.213,4.2739,23.116,84.188
53.803,56.97,67.145,10.46,11.065,32.842
83.42,90.053,5.8808,86.125,57.479,3.5028
88.899,31.554,45.833,70.372,81.771,92.403
49.944,65.713,16.137,92.929,5.5311,73.222
27.588,12.467,3.6795,25.273,41.904,7.7337
48.094,62.408,52.382,33.579,47.621,33.193
44.189,40.343,59.226,32.583,80.566,52.63
0.65185,45.598,52.395,22.022,27.576,95.252
